اسم_المدرسة,المنطقة_الإدارية,الإدارة_التعليمية,المكتب_التعليمي,السلطة,نوع_التعليم,الجنس,نوع_الاختبار,تخصص_الاختبار,متوسط_أداء_الطلبة_في_المدرسة,ترتيب_المدرسة_على_مستوى_المدارس
مدارس منارات المدينة المنورة الأهلية - المرحلة الثانوية (مقررات),المدينة المنورة,الإدارة العامة للتعليم بمنطقة المدينة المنورة,مكتب التعليم شرق المدينة المنورة,أهلي,تعليم عام بنين,بنين,قدرات,علمي,82.939393,24
ثانوية ابن الجزري لتحفيظ القرآن الكريم - مقررات,الرياض,الإدارة العامة للتعليم بمنطقة الرياض,مكتب التعليم بالغرب,حكومي,تحفيظ بنين,بنين,قدرات,نظري,77.625615,24
الملك عبدالعزيز الأهلية النموذجية الثانوية,تبوك,الإدارة العامة للتعليم بمنطقة تبوك,تبوك,أهلي,تعليم عام بنين,بنين,قدرات,علمي,82.869158,25
ثانوية عبدالله بن السائب لتحفيظ القران الكريم - مقررات,المدينة المنورة,الإدارة العامة للتعليم بمنطقة المدينة المنورة,مكتب التعليم شمال المدينة المنورة,حكومي,تحفيظ بنين,بنين,قدرات,نظري,77.234636,25
ثانوية المجيدية - مقررات,الشرقية,الإدارة العامة للتعليم بالمنطقة الشرقية,مكتب التعليم بالقطيف,حكومي,تعليم عام بنين,بنين,قدرات,علمي,82.822818,26
ثانوية الأمير مساعد بن عبدالعزيز لتحفيظ القرآن الكريم - مقررات,الرياض,الإدارة العامة للتعليم بمنطقة الرياض,مكتب التعليم بالشرق,حكومي,تحفيظ بنين,بنين,قدرات,نظري,77.195121,26
ثانوية الرواد الأهلية - نظام المقررات,الرياض,الإدارة العامة للتعليم بمنطقة الرياض,مكتب التعليم بالروضة,أهلي,تعليم عام بنين,بنين,قدرات,علمي,82.821478,27
ثانوية الإمام الكسائي لتحفيظ القرآن الكريم ببلجرشي - مقررات,الباحة,الإدارة العامة للتعليم بمنطقة الباحة,مكتب االتعليم ببلجرشي,حكومي,تحفيظ بنين,بنين,قدرات,نظري,76.891891,27
دار الذكر الثانوية الاهلية,مكة المكرمة,الإدارة العامة للتعليم بمحافظة جدة,مكتب التعليم بشمال جدة,أهلي,تعليم عام بنين,بنين,قدرات,علمي,82.680212,28
الامام حفص الثانوية لتحفيظ القران الكريم - مقررات,مكة المكرمة,الإدارة العامة للتعليم بمحافظة جدة,مكتب التعليم بجنوب جدة,حكومي,تحفيظ بنين,بنين,قدرات,نظري,76.875,28
ثانوية دار العلوم - مقررات,الشرقية,الإدارة العامة للتعليم بالمنطقة الشرقية,مكتب التعليم بالقطيف,حكومي,تعليم عام بنين,بنين,قدرات,علمي,82.570731,29
الصديق لتحفيظ القرآن الكريم الثانوية - مقررات,المدينة المنورة,إدارة التعليم بمحافظة ينبع,إدارة الإشراف التربوي,حكومي,تحفيظ بنين,بنين,قدرات,نظري,76.662162,29
ثانوية التربية النموذجية (البرنامج الدولي أمريكي),الرياض,الإدارة العامة للتعليم بمنطقة الرياض,مكتب التعليم بالروابي,تعليم عالمي,تعليم عالمي بنين,بنين,قدرات,علمي,82.524822,30
الإمام عاصم الثانوية لتحفيظ القرآن الكريم - مقررات,مكة المكرمة,الإدارة العامة للتعليم بمحافظة الطائف,مكتب تعليم غرب الطائف,حكومي,تحفيظ بنين,بنين,قدرات,نظري,76.635944,30
